TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME|DATA_TYPE|CHARACTER_MAXIMUM_LENGTH|IS_NULLABLE|COLUMN_DEFAULT|IS_PK
------------|----------|-----------|---------|------------------------|-----------|--------------|-----
dbo|aspnet_Applications|ApplicationName|nvarchar|256|NO|NULL|
dbo|aspnet_Applications|LoweredApplicationName|nvarchar|256|NO|NULL|
dbo|aspnet_Applications|ApplicationId|uniqueidentifier|NULL|NO|(newid())|PK
dbo|aspnet_Applications|Description|nvarchar|256|YES|NULL|
dbo|aspnet_Membership|ApplicationId|uniqueidentifier|NULL|NO|NULL|
dbo|aspnet_Membership|UserId|uniqueidentifier|NULL|NO|NULL|PK
dbo|aspnet_Membership|Password|nvarchar|128|NO|NULL|
dbo|aspnet_Membership|PasswordFormat|int|NULL|NO|((0))|
dbo|aspnet_Membership|PasswordSalt|nvarchar|128|NO|NULL|
dbo|aspnet_Membership|MobilePIN|nvarchar|16|YES|NULL|
dbo|aspnet_Membership|Email|nvarchar|256|YES|NULL|
dbo|aspnet_Membership|LoweredEmail|nvarchar|256|YES|NULL|
dbo|aspnet_Membership|PasswordQuestion|nvarchar|256|YES|NULL|
dbo|aspnet_Membership|PasswordAnswer|nvarchar|128|YES|NULL|
dbo|aspnet_Membership|IsApproved|bit|NULL|NO|NULL|
dbo|aspnet_Membership|IsLockedOut|bit|NULL|NO|NULL|
dbo|aspnet_Membership|CreateDate|datetime|NULL|NO|NULL|
dbo|aspnet_Membership|LastLoginDate|datetime|NULL|NO|NULL|
dbo|aspnet_Membership|LastPasswordChangedDate|datetime|NULL|NO|NULL|
dbo|aspnet_Membership|LastLockoutDate|datetime|NULL|NO|NULL|
dbo|aspnet_Membership|FailedPasswordAttemptCount|int|NULL|NO|NULL|
dbo|aspnet_Membership|FailedPasswordAttemptWindowStart|datetime|NULL|NO|NULL|
dbo|aspnet_Membership|FailedPasswordAnswerAttemptCount|int|NULL|NO|NULL|
dbo|aspnet_Membership|FailedPasswordAnswerAttemptWindowStart|datetime|NULL|NO|NULL|
dbo|aspnet_Membership|Comment|nvarchar|-1|YES|NULL|
dbo|aspnet_Roles|ApplicationId|uniqueidentifier|NULL|NO|NULL|
