FK_Name|ParentTable|ParentColumn|ReferencedTable|ReferencedColumn
-------|-----------|------------|---------------|----------------
FK__aspnet_Me__Appli__7E73E6D1|aspnet_Membership|ApplicationId|aspnet_Applications|ApplicationId
FK__aspnet_Me__UserI__7F680B0A|aspnet_Membership|UserId|aspnet_Users|UserId
FK__aspnet_Ro__Appli__005C2F43|aspnet_Roles|ApplicationId|aspnet_Applications|ApplicationId
FK__aspnet_Us__Appli__0150537C|aspnet_Users|ApplicationId|aspnet_Applications|ApplicationId
FK__aspnet_Us__RoleI__024477B5|aspnet_UsersInRoles|RoleId|aspnet_Roles|RoleId
FK__aspnet_Us__UserI__03389BEE|aspnet_UsersInRoles|UserId|aspnet_Users|UserId
FK_HangFire_JobParameter_Job|JobParameter|JobId|Job|Id
FK_HangFire_JobParameter_Job|JobParameter|JobId|Job|Id
FK_HangFire_State_Job|State|JobId|Job|Id
FK_HangFire_State_Job|State|JobId|Job|Id
FK_tblAboriginalIdentity_tblAboriginalTorresOptionId|tblAboriginalTorresIdentity|AboriginalTorresOptionId|tblAboriginalTorresOption|AboriginalTorresOptionId
FK_tblAboriginalTorresIdentity_tblEntity|tblAboriginalTorresIdentity|EntityId|tblEntity|EntityId
FK_tblAboriginalTorresOption_User|tblAboriginalTorresOption|ModifiedUser|tblUser|UserId
FK_Address_ODAddressVisibilityType|tblAddress|ODAddressVisibilityTypeId|tblODAddressVisibilityType|ODAddressVisibilityTypeId
FK_tblAddress_tblEntity|tblAddress|EntityId|tblEntity|EntityId
FK_tblAddress_tblPostcode|tblAddress|PostcodeId|tblPostcode|PostcodeId
FK_ApiAccess_Institution|tblApiAccess|InstitutionId|tblInstitution|InstitutionId
FK_ApiAccess_User|tblApiAccess|ModifiedUserId|tblUser|UserId
FK_tblAuditLog_tluAuditType|tblAuditLog|AuditTypeId|tluAuditType|AuditTypeId
FK_tblCandidateBrief_TestMaterialAttachmentId_tblTestMaterialAttachment_TestMaterialAttachmentId|tblCandidateBrief|TestMaterialAttachmentId|tblTestMaterialAttachment|TestMaterialAttachmentId
FK_tblCandidateBrief_TestSittingId_tblTestSitting_TestSittingId|tblCandidateBrief|TestSittingId|tblTestSitting|TestSittingId
FK_CertificationPeriod_Person|tblCertificationPeriod|PersonId|tblPerson|PersonId
FK_ContactPerson_Institution|tblContactPerson|InstitutionId|tblInstitution|InstitutionId
FK_Country_User|tblCountry|ModifiedUser|tblUser|UserId
FK_tblCouponAssignment_tblCoupon|tblCouponAssignment|CouponId|tblCoupon|CouponId
FK_tblCouponRecipient_tblCoupon|tblCouponRecipient|CouponId|tblCoupon|CouponId
FK_tblCouponUsage_tblCoupon|tblCouponUsage|CouponId|tblCoupon|CouponId
FK_Credential_CertificationPeriod|tblCredential|CertificationPeriodId|tblCertificationPeriod|CertificationPeriodId
FK_CredentialApplication_CredentialApplicationStatusType|tblCredentialApplication|CredentialApplicationStatusTypeId|tblCredentialApplicationStatusType|CredentialApplicationStatusTypeId
FK_CredentialApplication_CredentialApplicationType|tblCredentialApplication|CredentialApplicationTypeId|tblCredentialApplicationType|CredentialApplicationTypeId
FK_CredentialApplication_Institution|tblCredentialApplication|SponsorInstitutionId|tblInstitution|InstitutionId
FK_CredentialApplication_Office|tblCredentialApplication|ReceivingOfficeId|tblOffice|OfficeId
FK_CredentialApplication_Person|tblCredentialApplication|PersonId|tblPerson|PersonId
FK_CredentialApplication_User|tblCredentialApplication|EnteredUserId|tblUser|UserId
FK_CredentialApplication_User2|tblCredentialApplication|StatusChangeUserId|tblUser|UserId
FK_CredentialApplication_User3|tblCredentialApplication|OwnedByUserId|tblUser|UserId
FK_CredentialApplicationAttachment_CredentialApplication|tblCredentialApplicationAttachment|CredentialApplicationId|tblCredentialApplication|CredentialApplicationId
FK_CredentialApplicationAttachment_StoredFile|tblCredentialApplicationAttachment|StoredFileId|tblStoredFile|StoredFileId
CredentialApplicationEmailMessage_CredentialApplication|tblCredentialApplicationEmailMessage|CredentialApplicationId|tblCredentialApplication|CredentialApplicationId
CredentialApplicationEmailMessage_EmailMessage|tblCredentialApplicationEmailMessage|EmailMessageId|tblEmailMessage|EmailMessageId
FK_CredentialApplicationField_CredentialApplicationFieldCategory|tblCredentialApplicationField|CredentialApplicationFieldCategoryId|tblCredentialApplicationFieldCategory|CredentialApplicationFieldCategoryId
FK_CredentialApplicationField_CredentialApplicationType|tblCredentialApplicationField|CredentialApplicationTypeId|tblCredentialApplicationType|CredentialApplicationTypeId
FK_CredentialApplicationField_DataType|tblCredentialApplicationField|DataTypeId|tblDataType|DataTypeId
FK_CredentialApplicationField_User|tblCredentialApplicationField|ModifiedUser|tblUser|UserId
FK_CredentialApplicationFieldCategory_User|tblCredentialApplicationFieldCategory|ModifiedUser|tblUser|UserId
FK_CredentialApplicationFieldData_CredentialApplication|tblCredentialApplicationFieldData|CredentialApplicationId|tblCredentialApplication|CredentialApplicationId
FK_CredentialApplicationFieldData_CredentialApplicationField|tblCredentialApplicationFieldData|CredentialApplicationFieldId|tblCredentialApplicationField|CredentialApplicationFieldId
FK_CredentialApplicationFieldData_CredentialApplicationFieldOptionOption|tblCredentialApplicationFieldData|CredentialApplicationFieldOptionOptionId|tblCredentialApplicationFieldOptionOption|CredentialApplicationFieldOptionOptionId
FK_CredentialApplicationFieldOption_User|tblCredentialApplicationFieldOption|ModifiedUser|tblUser|UserId
FK_CredentialApplicationFieldOptionOption_CredentialApplicationField|tblCredentialApplicationFieldOptionOption|CredentialApplicationFieldId|tblCredentialApplicationField|CredentialApplicationFieldId
FK_CredentialApplicationFieldOptionOption_CredentialApplicationFieldOption|tblCredentialApplicationFieldOptionOption|CredentialApplicationFieldOptionId|tblCredentialApplicationFieldOption|CredentialApplicationFieldOptionId
FK_CredentialApplicationFieldOptionOption_User|tblCredentialApplicationFieldOptionOption|ModifiedUser|tblUser|UserId
FK_CredentialApplicationForm_CredentialApplicationFormUserType|tblCredentialApplicationForm|CredentialApplicationFormUserTypeId|tblCredentialApplicationFormUserType|CredentialApplicationFormUserTypeId
FK_CredentialApplicationForm_CredentialApplicationType|tblCredentialApplicationForm|CredentialApplicationTypeId|tblCredentialApplicationType|CredentialApplicationTypeId
FK_CredentialApplicationFormAnswerOption_CredentialApplicationFormQuestionType|tblCredentialApplicationFormAnswerOption|CredentialApplicationFormQuestionTypeId|tblCredentialApplicationFormQuestionType|CredentialApplicationFormQuestionTypeId
FK_tblCredentialApplicationFormAnswerOptionActionType_CredentialApplicationFormActionType|tblCredentialApplicationFormAnswerOptionActionType|CredentialApplicationFormActionTypeId|tblCredentialApplicationFormActionType|CredentialApplicationFormActionTypeId
FK_tblCredentialApplicationFormAnswerOptionActionType_CredentialApplicationFormAnswerOption|tblCredentialApplicationFormAnswerOptionActionType|CredentialApplicationFormAnswerOptionId|tblCredentialApplicationFormAnswerOption|CredentialApplicationFormAnswerOptionId
