TABLE_SCHEMA|TABLE_NAME
------------|----------
dbo|aspnet_Applications
dbo|aspnet_Membership
dbo|aspnet_Roles
dbo|aspnet_SchemaVersions
dbo|aspnet_Users
dbo|aspnet_UsersInRoles
dbo|Backup_tblExaminerMarking
dbo|Backup_tblJob
dbo|Backup_tblJobExaminer
dbo|Backup_tblJobExaminerPayroll
dbo|Backup_tblJobExaminerRubricTestComponentResult
dbo|Backup_tblTestResult
dbo|Backup_tblTestResultRubricTestComponentResult
dbo|dtproperties
dbo|sysdiagrams
dbo|tblAboriginalTorresIdentity
dbo|tblAboriginalTorresOption
dbo|tblAddress
dbo|tblApiAccess
dbo|tblApplication
dbo|tblAuditLog
dbo|tblCandidateBrief
dbo|tblCertificationPeriod
dbo|tblContactPerson
dbo|tblCountry
dbo|tblCoupon
dbo|tblCouponAssignment
dbo|tblCouponRecipient
dbo|tblCouponUsage
dbo|tblCredential
dbo|tblCredentialApplication
dbo|tblCredentialApplicationAttachment
dbo|tblCredentialApplicationEmailMessage
dbo|tblCredentialApplicationField
dbo|tblCredentialApplicationFieldCategory
dbo|tblCredentialApplicationFieldData
dbo|tblCredentialApplicationFieldOption
dbo|tblCredentialApplicationFieldOptionOption
dbo|tblCredentialApplicationForm
dbo|tblCredentialApplicationFormActionType
dbo|tblCredentialApplicationFormAnswerOption
dbo|tblCredentialApplicationFormAnswerOptionActionType
dbo|tblCredentialApplicationFormAnswerOptionDocumentType
dbo|tblCredentialApplicationFormAnswerType
dbo|tblCredentialApplicationFormCredentialType
dbo|tblCredentialApplicationFormQuestion
dbo|tblCredentialApplicationFormQuestionAnswerOption
dbo|tblCredentialApplicationFormQuestionLogic
dbo|tblCredentialApplicationFormQuestionType
dbo|tblCredentialApplicationFormSection
dbo|tblCredentialApplicationFormUserType
dbo|tblCredentialApplicationNote
dbo|tblCredentialApplicationRefund
dbo|tblCredentialApplicationRefundPolicy
dbo|tblCredentialApplicationStatusType
dbo|tblCredentialApplicationType
dbo|tblCredentialApplicationTypeCategory
dbo|tblCredentialApplicationTypeCredentialType
dbo|tblCredentialApplicationTypeDocumentType
dbo|tblCredentialApplicationTypeTestLocation
dbo|tblCredentialAttachment
dbo|tblCredentialCategory
dbo|tblCredentialCredentialRequest
dbo|tblCredentialFeeProduct
dbo|tblCredentialPrerequisite
dbo|tblCredentialPrerequisiteExemption
dbo|tblCredentialQrCode
dbo|tblCredentialRequest
dbo|tblCredentialRequest_Backup
dbo|tblCredentialRequest_Backup_1051072_20250807
dbo|tblCredentialRequestAssociationType
dbo|tblCredentialRequestCredentialRequest
dbo|tblCredentialRequestFieldData
dbo|tblCredentialRequestPathType
dbo|tblCredentialRequestStatusType
dbo|tblCredentialRequestUpdate_Backup
dbo|tblCredentialStatusType
dbo|tblCredentialType
dbo|tblCredentialTypeCrossSkill
dbo|tblCredentialTypeDowngradePath
dbo|tblCredentialTypeTemplate
dbo|tblCredentialTypeTestMaterialDomain
dbo|tblCredentialTypeUpgradePath
dbo|tblCredentialWorkflowActionEmailTemplate
dbo|tblCredentialWorkflowFee
dbo|tblDataType
dbo|tblDialects
dbo|tblDirectionType
dbo|tblDocumentTypeCategory
dbo|tblDocumentTypeRole
dbo|tblDownload
dbo|tblEmail
dbo|tblEmailBatch
dbo|tblEmailBatchRecipient
dbo|tblEmailChange
dbo|tblEmailMessage
dbo|tblEmailMessageAttachment
dbo|tblEmailSendStatusType
dbo|tblEmailTemplate
dbo|tblEmailTemplateDetailType
dbo|tblEndorsedQualification
dbo|tblEntity
dbo|tblEntityNote
dbo|tblExaminerMarking
dbo|tblExaminerMarking_Backup_20250807_044842
dbo|tblExaminerMarking_Backup_20250807_045331
dbo|tblExaminerMarking_Backup_20250807_054120
dbo|tblExaminerMarking_Backup_20250807_054533
dbo|tblExaminerMarking_Backup_20250807_055252
